index,acre_lot,house_size,price
261,0.11,6798,425000
262,0.43,6840,529900
263,0.11,6798,425000
264,0.3,6414,445000
265,0.3,6414,445000
266,0.11,6798,425000
267,0.22,6520,575000
268,0.43,6840,529900
269,0.09,4896,569000
270,0.09,4768,399900
271,0.09,4896,569000
272,0.43,6840,529900
273,0.43,6840,529900
274,0.09,5039,499000
275,0.09,5039,499000
276,0.09,5039,499000
277,0.09,5039,499000
278,0.09,5039,499000
279,0.69,4000,689900
280,0.09,5039,499000
281,0.09,5039,499000
282,0.09,5039,499000
283,0.09,5039,499000
284,0.09,5039,499000
285,0.09,5039,499000
286,0.09,5039,499000
287,0.12,2504,330000
288,0.12,2504,330000
289,0.12,2504,330000
290,0.11,4713,399000
291,0.12,2504,330000
292,0.12,2504,330000
293,0.12,2504,330000
294,0.12,2504,330000
295,0.12,2504,330000
296,0.12,2504,330000
297,0.11,4713,399000
298,0.11,4713,399000
299,0.12,2504,330000
300,0.11,4713,399000
301,0.12,2504,330000
302,0.12,2504,330000
303,0.12,2504,330000
304,0.11,4713,399000
305,0.11,4713,399000
306,0.12,2504,330000
307,0.11,4713,399000
308,0.12,2504,330000
309,0.12,2504,330000
310,0.12,2504,330000
311,0.12,2504,330000
312,0.12,2504,330000
313,0.11,4713,399000
314,0.75,2400,6100000
315,0.75,2400,6100000
316,0.75,2400,6100000
317,0.75,2400,6100000
318,0.75,2400,6100000
319,0.75,2400,6100000
320,0.75,2400,6100000
321,0.75,2400,6100000
322,0.75,2400,6100000
323,0.09,3750,1995999
324,0.09,3750,1995999
325,0.09,3750,1995999
326,0.09,3750,1995999
327,0.09,3750,1995999
328,0.09,3750,1995999
329,0.09,3750,1995999
330,0.09,3750,1995999
331,0.09,3750,1995999
332,0.09,3750,1995999
333,0.09,3750,1995999
334,0.09,3750,1995999
335,0.07,5919,475000
336,0.07,5919,475000
337,0.07,5919,475000
338,0.07,5919,475000
339,0.07,5919,475000
340,0.07,5919,475000
341,0.07,5919,475000
342,0.07,5919,475000
343,0.07,5919,475000
344,0.07,5919,475000
345,2.9,5700,469900
346,0.08,5616,419900
347,0.11,2700,410000
348,0.07,5411,448000
349,2.9,5700,469900
350,0.1,9318,2600000
351,0.07,4137,399000
352,0.11,2700,410000
353,0.09,3796,333000
354,0.11,2700,410000
355,0.11,2700,410000
356,2.9,5700,469900
357,0.09,3796,333000
358,0.08,5616,419900
359,0.11,2700,410000
360,0.07,5411,448000
361,0.1,9318,2600000
362,0.07,4137,399000
363,0.09,3796,333000
364,0.08,5616,419900
365,0.11,2700,410000
366,0.07,5411,448000
367,0.1,9318,2600000
368,0.07,4137,399000
369,0.09,3796,333000
370,0.07,5411,448000
371,0.1,9318,2600000
372,0.07,4137,399000
373,0.09,3796,333000
